Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
3/7/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.5,65.3,223,429
3/10/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6.3,73.2,112,209
13-03-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6.3,67.2,97,177
16-03-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,4.8,70.1,147,303
19-03-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,4.8,71.2,100,175
22-03-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.2,59.9,137,252
25-03-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.1,63.3,194,348
27-03-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.2,65,184,351
4/5/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6.6,71.7,167,304
4/7/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6.2,63.2,118,217
4/10/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6,69.5,84,145
13-04-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.7,72.4,71,133
16-04-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.5,65.3,101,176
19-04-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.4,68.2,102,188
